,brightness
1,105.872653
2,138.4258938
3,137.2478781
4,74.87149563
5,0
6,97.56934799
7,142.5614712
8,80.44936343
9,114.1793017
10,162.6850887
11,127.2815394
12,0
13,119.7762989
14,0
15,114.1697209
16,122.557356
17,164.1794303
18,125.1238747
19,0
20,123.4549897
21,84.79411008
22,119.0609246
23,79.62548225
24,110.7845936
25,119.1222351
26,157.6543853
27,68.56645448
28,69.35558128
29,0
30,79.75540123
31,107.8079025
32,110.2895448
33,191.8875707
34,184.4201389
35,69.55095808
36,69.3288323
37,138.123939
38,100.2651106
39,121.8862204
40,111.1246463
41,142.9052533
42,99.58420139
43,134.6381494
44,0
45,146.2233796
46,84.26131687
47,0
48,109.8306327
49,97.33275463
50,85.55433385
51,158.8354874
52,0
53,146.1154192
54,0
55,142.3784079
56,136.7785494
57,167.1286651
58,0
59,115.7432163
60,103.0085198
61,127.9052855
62,110.1064172
63,112.5737847
64,181.5246271
65,78.42026749
66,128.5131816
67,113.5550733
68,53.93611754
69,166.9009452
70,148.7025141
71,82.44212963
72,157.7941744
73,153.2157279
74,113.6172197
75,132.9177919
76,0
77,0
78,112.7954604
79,146.8517554
80,142.7782922
81,98.37297454
82,101.3379951
83,103.0788323
84,84.19740226
85,122.9696824
86,123.8007652
87,91.54089506
88,125.307999
89,100.2366898
90,124.6416538
91,80.1794946
92,113.3216628
93,156.6085069
94,0
95,70.19949203
96,113.9935057
97,116.2544046
98,162.4692966
99,162.9523534
100,164.7684864
101,105.8125965
102,92.72405478
103,95.67859439
104,146.4324203
105,128.1322659
106,0
107,117.251286
108,70.67624743
109,115.6863426
110,163.6766654
111,0
112,131.1161908
113,121.2543724
114,145.9228395
115,183.0594779
116,137.8979231
117,148.1186021
118,126.9082433
119,120.8603395
120,146.2260159
121,0
122,197.2155993
123,92.02128344
124,149.3065522
125,138.227302
126,136.7730517
127,169.0187114
128,113.6095036
129,83.65252058
130,0
131,104.6262539
132,69.38763503
133,116.4548611
134,77.38544882
135,102.437082
136,93.14525463
137,162.9862719
138,109.8830376
139,108.2031572
140,0
141,97.0867091
142,104.0577739
143,154.1015625
144,0
145,189.258552
146,117.7579411
147,119.0658758
148,119.1897505
149,0
150,0
151,87.44402649
152,0
153,171.4127443
154,151.6271219
155,116.3232382
156,112.3840985
157,183.033597
158,131.8003151
159,134.2154385
160,87.11503344
161,98.84378215
162,95.48276749
163,0
164,105.0632073
165,83.54147377
166,114.910526
167,93.36368313
168,109.4542824
169,149.8354552
170,72.73791152
171,110.7516075
172,124.3328189
173,148.392329
174,126.1560249
175,163.0492541
176,127.7395833
177,111.9071824
178,0
179,153.4746978
180,148.7724087
181,129.1453189
182,0
183,74.28179655
184,163.6342593
185,140.3077418
186,113.6664416
187,59.50540123
188,168.2408372
189,118.6266075
190,116.1101145
191,121.5031829
192,131.2999614
193,125.7163066
194,0
195,89.94087577
196,97.15740741
197,132.454829
198,138.8644547
199,128.2408693
200,152.0490612
201,150.7403871
202,94.53739069
203,150.4019419
204,89.89001415
205,105.5095165
206,165.8021798
207,0
208,120.5828511
209,69.54735725
210,171.0805363
211,86.4994856
212,82.40940072
213,0
214,136.6387924
215,161.1241962
216,95.20653292
217,189.9256044
218,160.0563593
219,104.8013439
220,0
221,138.9269226
222,130.8161973
223,151.9911908
224,96.53121785
225,120.5708269
226,159.4483025
227,130.197981
228,113.3616255
229,114.0341435
230,124.8461613
231,130.5386124
232,116.1103717
233,97.289384
234,115.588188
235,97.64239326
236,174.5973187
237,150.1761188
238,172.5826582
239,112.7964249
240,137.7322852
241,0
242,123.5558771
243,0
244,104.036812
245,112.1839635
246,0
247,123.7349216
248,114.4284658
249,0
250,98.70579347
251,0
252,119.6723573
253,102.2951389
254,148.564204
255,156.2460455
256,178.7053755
257,200.8535558
258,168.2063079
259,206.522055
260,121.9245113
261,0
262,0
263,158.3884709
264,149.9320345
265,0
266,135.7928562
267,128.904546
268,103.15924
269,0
270,160.4438336
271,79.02764918
272,133.3197659
273,106.3882459
274,101.8250064
275,136.6918403
276,104.1502701
277,126.0850051
278,171.0207369
279,113.9383038
280,85.34005273
281,150.223669
282,0
283,150.0604745
284,0
285,83.25118956
286,124.9079861
287,99.26134902
288,0
289,92.53256816
290,113.1874357
291,165.4358603
292,128.3690844
293,174.1277971
294,167.7599666
295,80.9998071
296,132.8933578
297,112.1684671
298,107.7345679
299,125.1086034
300,156.3170653
301,92.05414095
302,141.190715
303,128.2370756
304,169.5656186
305,0
306,154.0618891
307,0
308,118.0327289
309,137.0338863
310,70.34365355
311,141.8855774
312,82.43676055
313,131.6277006
314,80.84780093
315,124.9281764
316,182.55009
317,110.6043274
318,126.5707948
319,124.1071888
320,215.7464635
321,0
322,126.2777135
323,102.9398791
324,184.382716
325,0
326,147.1831597
327,83.88908179
328,137.5738812
329,111.5736883
330,137.4764017
331,73.03369342
332,185.2181713
333,130.9230967
334,137.7143454
335,107.4240934
336,119.2891268
337,0
338,97.08622685
339,96.39965921
340,168.75299
341,147.2771026
342,179.557356
343,82.64705504
344,159.7835648
345,136.5295782
346,125.968332
347,116.0545267
348,107.9412616
349,0
350,137.70634
351,155.6759259
352,94.24074074
353,187.7376222
354,159.2321245
355,90.5936214
356,132.6090213
357,0
358,114.8066808
359,109.3996914
360,195.4071824
361,161.8707562
362,128.2594522
363,113.0245628
364,113.5571952
365,123.8295075
366,94.19801312
367,116.3338156
368,137.261124
369,134.8883745
370,120.2076903
371,175.9572402
372,94.57272377
373,0
374,167.4369856
375,92.44753086
376,135.0954861
377,153.8731353
378,124.5741705
379,0
380,140.2305813
381,88.89969136
382,168.933867
383,129.050508
384,104.0375836
385,114.7719264
386,127.9942773
387,114.8342335
388,137.1717464
389,0
390,131.7502251
391,0
392,138.9721901
393,150.8704347
394,118.1590149
395,121.3929077
396,143.494438
397,140.0897634
398,115.1872428
399,133.2068223
400,114.3177726
401,150.8820409
402,0
403,118.3985983
404,141.1454475
405,120.2158243
406,161.3691487
407,138.4071181
408,153.3416602
409,0
410,129.220454
411,167.8636188
412,137.3408886
413,182.348251
414,178.83433
415,132.7328639
416,108.4370177
417,166.5027649
418,92.27613812
419,127.423579
420,0
421,166.0611818
422,0
423,171.0206404
424,161.8820409
425,176.3922004
426,131.891268
427,135.5344972
428,134.6093107
429,0
430,127.7403549
431,161.2421553
432,0
433,148.0762281
434,119.7160172
435,173.0221515
436,198.3133681
437,118.5559414
438,116.0994084
439,130.6838992
440,107.0106417
441,87.92235725
442,102.4857575
443,82.74559542
444,129.2854295
445,111.7552726
446,124.3166474
447,84.49009774
448,133.2858475
449,75.66206919
450,120.387635
451,154.8884388
452,107.432581
453,113.9159594
454,124.8542631
455,0
456,186.3158758
457,117.202064
458,157.3853202
459,0
460,0
461,106.6250322
462,176.0305427
463,165.7066937
464,161.2862976
465,106.482028
466,93.7024177
467,73.96064815
468,152.8329154
469,0
470,106.4556006
471,142.3735854
472,184.3408565
473,81.28784079
474,180.6857639
475,175.8438465
476,144.418017
477,152.3168724
478,155.9751479
479,145.9873328
480,146.8046875
481,101.8536844
482,0
483,0
484,83.26758616
485,155.9422582
486,167.7218043
487,70.8753215
488,124.9026492
489,145.5307034
490,170.2190715
491,175.7158565
492,153.2309028
493,69.57130916
494,81.71701389
495,0
496,79.74694573
497,147.1799126
498,105.0495756
499,117.5591564
500,173.2207112
501,137.4189172
502,151.9114583
503,159.9164095
504,117.9801955
505,130.8926183
506,85.12554655
507,96.46424897
508,152.9101402
509,128.0393197
510,0
511,137.410108
512,112.1571502
513,116.6452225
514,100.7493248
515,0
516,150.3560314
517,106.8365484
518,133.8105388
519,147.101241
520,84.77999614
521,0
522,109.6045203
523,0
524,105.5808578
525,136.5941037
526,123.6319766
527,93.23347479
528,96.63779578
529,0
530,161.9784594
531,0
532,104.2561407
533,113.6497557
534,107.6853138
535,93.70621142
536,106.1590149
537,94.9457626
538,133.49058
539,0
540,106.193705
541,120.351884
542,157.568705
543,0
544,139.3719779
545,112.3938079
546,142.6046168
547,95.47691615
548,160.099312
549,128.7928884
550,160.8397634
551,190.5200617
552,139.3273212
553,155.9184671
554,127.1831597
555,162.7611883
556,161.2231546
557,161.3546168
558,86.68396348
559,125.8395062
560,156.3710455
