,price_by_model
0,145.0455933
1,130.9450378
2,124.4722519
3,125.5910416
4,0
5,130.3945313
6,111.8243942
7,132.27771
8,124.4636078
9,132.4907074
10,134.0671234
11,0
12,140.0962067
13,0
14,111.178154
15,123.5274124
16,122.8533783
17,108.3930206
18,0
19,107.9056549
20,105.8520508
21,109.0186081
22,146.5185547
23,140.6508026
24,124.5224075
25,133.4144135
26,146.3511353
27,104.428833
28,0
29,119.7253113
30,137.4173737
31,106.1442108
32,126.2272186
33,114.6732788
34,112.2539902
35,128.696167
36,147.634201
37,140.7312775
38,122.7037964
39,100.1559677
40,137.0026245
41,149.6614227
42,134.5939636
43,0
44,131.6489868
45,132.727951
46,0
47,138.8784637
48,147.8079987
49,133.9485931
50,146.8755951
51,0
52,139.4129944
53,0
54,134.0617065
55,142.258194
56,110.4141388
57,0
58,148.870163
59,98.17812347
60,143.0207367
61,94.90719604
62,99.40615082
63,151.5962372
64,112.1984406
65,145.5622711
66,101.3781891
67,134.2976379
68,109.6540833
69,130.0352478
70,132.5289764
71,129.3443451
72,116.1618347
73,122.7588272
74,106.7648315
75,0
76,0
77,127.2452621
78,133.0825195
79,98.47655487
80,139.9562073
81,88.02787781
82,143.087204
83,138.8874512
84,104.8621063
85,147.9454193
86,139.0867615
87,121.5581436
88,99.63833618
89,128.4463959
90,141.532135
91,117.8835678
92,122.424614
93,0
94,129.6178131
95,111.0133438
96,117.6332321
97,127.5635605
98,116.8433533
99,119.1604843
100,125.2413483
101,146.2492828
102,125.9145203
103,138.6368866
104,110.0874634
105,0
106,140.8811646
107,148.8061371
108,144.9122467
109,126.2556229
110,0
111,103.8966522
112,121.2833939
113,124.1299667
114,114.5628891
115,104.7438202
116,125.0470123
117,141.5341187
118,130.0270386
119,121.1937866
120,0
121,129.8209534
122,122.7318802
123,125.1243896
124,138.1936646
125,90.46740723
126,139.9627533
127,131.0486298
128,134.7556458
129,0
130,128.6016541
131,121.2842331
132,145.0449829
133,129.1128082
134,148.0737
135,117.1101227
136,120.6579666
137,111.6379852
138,97.64308929
139,0
140,120.0771103
141,116.0715942
142,112.6891403
143,0
144,117.2280426
145,131.2961578
146,121.5349426
147,148.7954712
148,0
149,0
150,117.4718323
151,0
152,127.5671234
153,117.2988968
154,134.3395844
155,129.2344208
156,122.7728119
157,120.9908676
158,143.8975372
159,122.7047424
160,140.164856
161,128.0903168
162,0
163,99.5218277
164,135.4464417
165,112.0389328
166,88.63266754
167,146.1525879
168,114.2562408
169,103.9738541
170,143.1283722
171,108.176384
172,115.6411514
173,113.6846771
174,131.4290619
175,137.0888672
176,125.7599411
177,0
178,102.1627579
179,130.0170135
180,118.0403137
181,0
182,126.4851837
183,128.23526
184,108.7902145
185,136.4775696
186,162.4564209
187,125.6022644
188,111.6365814
189,123.6570892
190,125.1757889
191,119.177742
192,136.2820282
193,0
194,133.3276978
195,118.8118744
196,127.2468719
197,117.3753738
198,127.4312439
199,120.1054993
200,121.7577744
201,131.5868988
202,127.9969406
203,129.1327362
204,141.1971588
205,118.6581497
206,0
207,125.9911346
208,115.3153763
209,124.5270081
210,101.9625702
211,127.0046997
212,0
213,129.4456329
214,138.5974274
215,140.4012146
216,115.7528152
217,123.541832
218,132.5502777
219,0
220,116.6979752
221,116.7371826
222,111.4949417
223,143.2151337
224,133.9309387
225,123.7347794
226,136.7013702
227,119.3549194
228,115.3480225
229,124.1754913
230,113.5029755
231,123.5868759
232,127.2047806
233,135.8634338
234,76.78601837
235,149.9907837
236,81.60848999
237,127.1107712
238,123.1000137
239,130.626709
240,0
241,127.506958
242,0
243,103.9272537
244,106.2134628
245,0
246,129.4315948
247,130.1204529
248,0
249,133.8444519
250,0
251,97.25483704
252,112.9740677
253,111.2396851
254,122.9057388
255,118.2305603
256,104.5170746
257,103.6189041
258,119.0838852
259,142.6705475
260,0
261,0
262,134.9813232
263,128.4976959
264,0
265,124.0449295
266,104.2672043
267,124.0945435
268,0
269,112.6138077
270,128.73909
271,153.6482391
272,105.8230057
273,130.8581696
274,110.4930038
275,138.3382416
276,126.058197
277,102.7174988
278,144.3200989
279,126.9459763
280,150.593399
281,0
282,148.7240448
283,0
284,113.8222656
285,152.5916595
286,128.6051788
287,0
288,104.1013794
289,109.3070374
290,130.2041779
291,143.8910522
292,125.7838516
293,120.5519104
294,129.4481201
295,126.9594498
296,127.2848663
297,137.6324005
298,135.1765594
299,122.5906525
300,107.0204163
301,106.0361862
302,126.9824142
303,136.7435303
304,0
305,112.453186
306,0
307,119.9896011
308,119.0013809
309,135.6209412
310,144.6960754
311,106.685524
312,97.53721619
313,128.30159
314,131.4966431
315,127.7433014
316,110.9125671
317,141.3409729
318,120.1272278
319,119.5650101
320,0
321,110.1198502
322,103.9520645
323,126.8988419
324,0
325,95.62662506
326,161.9555664
327,141.496048
328,142.1534271
329,122.0894623
330,97.73010254
331,92.67809296
332,98.87224579
333,139.2911987
334,122.6944199
335,115.4087067
336,0
337,115.6695862
338,142.4651794
339,139.5696106
340,147.997879
341,137.3538361
342,147.3431091
343,125.4185486
344,135.3941498
345,129.6227112
346,104.1836014
347,127.1612091
348,0
349,119.0674133
350,130.9504242
351,125.7027206
352,124.006752
353,130.6858368
354,101.7444916
355,89.92604828
356,0
357,171.6694489
358,120.4395218
359,128.4588165
360,124.1813736
361,122.0050278
362,142.2465668
363,130.7562408
364,97.07613373
365,118.4417877
366,146.1677704
367,149.9452362
368,116.0153656
369,98.02178955
370,121.8181915
371,139.9367523
372,0
373,95.71736908
374,123.862587
375,96.07349396
376,122.0594788
377,98.16984558
378,0
379,152.9867096
380,135.241806
381,133.7411804
382,90.3331604
383,113.9022217
384,118.7437744
385,115.0409698
386,122.7380676
387,142.9985046
388,0
389,128.4838409
390,0
391,110.3243866
392,135.5329132
393,121.8882751
394,144.0128479
395,107.9075241
396,127.5887451
397,132.9092255
398,133.4043884
399,138.9774475
400,141.9775848
401,0
402,98.18569183
403,135.6440735
404,116.8537292
405,114.2509918
406,119.0164337
407,125.3226318
408,0
